,0,1,2
79,미녀와 야수,https://movie-phinf.pstatic.net/20170418_8/1492495678811alblS_JPEG/movie_image.jpg?type=m203_290_2,['Animation' 'Family' 'Drama' 'Fantasy' 'Romance' 'Musical']
80,주먹왕 랄프,https://movie-phinf.pstatic.net/20121123_34/1353646026595Ju6dI_JPEG/movie_image.jpg?type=m203_290_2,['Animation' 'Comedy' 'Family']
81,반지의 제왕: 반지 원정대,https://movie-phinf.pstatic.net/20170112_293/1484183486221oM8s1_JPEG/movie_image.jpg?type=m203_290_2,['Fantasy' 'Adventure' 'Action']
82,라따뚜이,https://movie-phinf.pstatic.net/20111222_98/1324525988764xxfgr_JPEG/movie_image.jpg?type=m203_290_2,['Comedy' 'Family' 'Adventure' 'Animation']
83,천국의 아이들,https://movie-phinf.pstatic.net/20170117_167/1484617736745cCu57_JPEG/movie_image.jpg?type=m203_290_2,['Drama' 'Comedy']
84,엽기적인 그녀,https://movie-phinf.pstatic.net/20111223_278/1324577048430YYLpv_JPEG/movie_image.jpg?type=m203_290_2,['Comedy' 'Drama' 'Romance']
85,토이 스토리,https://movie-phinf.pstatic.net/20111222_26/1324486740607KI01H_JPEG/movie_image.jpg?type=m203_290_2,['Animation' 'Comedy' 'Family' 'Fantasy']
86,로미오와 줄리엣,https://movie-phinf.pstatic.net/20111223_211/1324586655256bklaD_JPEG/movie_image.jpg?type=m203_290_2,['Drama' 'Romance']
87,영웅: 샐러멘더의 비밀,https://movie-phinf.pstatic.net/20130123_23/1358932669644LPxFO_JPEG/movie_image.jpg?type=m203_290_2,['Action']
88,폴리스 스토리,https://movie-phinf.pstatic.net/20150312_242/1426141162841F2pco_JPEG/movie_image.jpg?type=m203_290_2,['Action' 'Comedy']
89,취권 2,https://movie-phinf.pstatic.net/20111222_287/1324538393763PHLew_JPEG/movie_image.jpg?type=m203_290_2,['Action' 'Comedy']
90,바람,https://movie-phinf.pstatic.net/20111223_242/1324597990008Nj67F_JPEG/movie_image.jpg?type=m203_290_2,['Drama' 'Action' 'Family']
91,맨발의 꿈,https://movie-phinf.pstatic.net/20111223_86/1324613577990hG440_JPEG/movie_image.jpg?type=m203_290_2,['Drama']
92,우리들의 일그러진 영웅,https://movie-phinf.pstatic.net/20111221_284/1324452236681SMIDe_JPEG/movie_image.jpg?type=m203_290_2,['Drama']
93,더 코브: 슬픈 돌고래의 진실,https://movie-phinf.pstatic.net/20111223_149/1324594571372cfQMs_JPEG/movie_image.jpg?type=m203_290_2,['Documentary']
94,말할 수 없는 비밀,https://movie-phinf.pstatic.net/20150401_175/14278553671933quzs_JPEG/movie_image.jpg?type=m203_290_2,['Romance' 'Fantasy' 'Drama']
95,혹성탈출,https://movie-phinf.pstatic.net/20111223_79/1324581512877myiIU_JPEG/movie_image.jpg?type=m203_290_2,['SF' 'Action' 'Drama' 'Mystery']
